rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'C': 1.0, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.730759479300876,0.541021873340227,0.07743744734062717,0.0,0.0,0.0,0.0,0.18973760596064904,True
2,"{'C': 1.0, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.7307464917031433,0.5397802245804006,0.07905096014381419,0.0,0.0,0.0,0.0,0.19096626712274267,False
3,"{'C': 1.0, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.735795737064381,0.5349015521444443,0.07696355429258192,0.0,0.0,0.0,0.0,0.2008941849199366,False
4,"{'C': 1.0, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7365051553916825,0.5342568977281181,0.07903936894075554,0.0,0.0,0.0,0.0,0.20224825766356436,False
5,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.9205581410421319,0.5275667070458494,0.10365139661105711,0.0,0.0,0.0,0.0,0.39299143399628245,False
6,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.9209477446076149,0.5269974335414259,0.10406186219928597,0.0,0.0,0.0,0.0,0.39395031106618894,False
7,"{'C': 1.0, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.7394531279963219,0.5251500579917933,0.07457765814801154,0.0,0.0,0.0,0.0,0.21430307000452864,False
8,"{'C': 1.0, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.7399141479810353,0.5241760581890221,0.07643475231835116,0.0,0.0,0.0,0.0,0.21573808979201314,False
9,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9261416131277164,0.48858277092650126,0.11048401680473915,0.0,0.0,0.0,0.0,0.4375588422012151,False
10,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9257671748970775,0.48679087472282373,0.11143428527036532,0.0,0.0,0.0,0.0,0.43897630017425376,False
11,"{'C': 10.0, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.9190534067218638,0.4775688843900469,0.12148209238613598,0.0,0.0,0.0,0.0,0.44148452233181684,False
12,"{'C': 10.0, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.9185435116243041,0.4771261419641646,0.1234172927173825,0.0,0.0,0.0,0.0,0.44141736966013956,False
13,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.3938120916304183,0.3303844796544023,0.04367731322912094,0.0,0.0,0.0,0.0,0.06342761197601599,False
14,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.3943009459824617,0.32996110533624456,0.04549527575583761,0.0,0.0,0.0,0.0,0.06433984064621712,False
15,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.376092785789558,0.32464460522842836,0.06757520265549498,0.0,0.0,0.0,0.0,0.05144818056112965,False
16,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.3844803958575046,0.3239191969713483,0.056205453762366527,0.0,0.0,0.0,0.0,0.0605611988861563,False
17,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.37628206021992894,0.32338679906479056,0.07038686850160596,0.0,0.0,0.0,0.0,0.05289526115513837,False
18,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.38448900522545565,0.3225905257642047,0.05885190110157965,0.0,0.0,0.0,0.0,0.06189847946125093,False
19,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'linear'}",0.3188375213512577,0.25464785110251303,0.12328397550497082,0.0,0.0,0.0,0.0,0.06418967024874467,False
20,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'linear'}",0.3188375213512577,0.25464785110251303,0.12328397550497082,0.0,0.0,0.0,0.0,0.06418967024874467,False
21,"{'C': 1.0, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'linear'}",0.31565660504062387,0.246000081021146,0.13630344574381714,0.0,0.0,0.0,0.0,0.06965652401947786,False
22,"{'C': 1.0, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'linear'}",0.31565660504062387,0.246000081021146,0.13630344574381714,0.0,0.0,0.0,0.0,0.06965652401947786,False
23,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'linear'}",0.3154510172150635,0.24453244569477955,0.1374816762666329,0.0,0.0,0.0,0.0,0.07091857152028397,False
24,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'linear'}",0.3154510172150635,0.24453244569477955,0.1374816762666329,0.0,0.0,0.0,0.0,0.07091857152028397,False
25,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.313203719085066,0.24359898469999824,0.12667902478017545,0.0,0.0,0.0,0.0,0.06960473438506776,False
26,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.313203719085066,0.24359898469999824,0.12667902478017545,0.0,0.0,0.0,0.0,0.06960473438506776,False
27,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.29989174325586676,0.2363421705354139,0.1149021948581378,0.0,0.0,0.0,0.0,0.06354957272045286,False
28,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.29989174325586676,0.2363421705354139,0.1149021948581378,0.0,0.0,0.0,0.0,0.06354957272045286,False
29,"{'C': 1.0, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.31352505599477354,0.22147136871105805,0.13882488938331752,0.0,0.0,0.0,0.0,0.09205368728371549,False
30,"{'C': 1.0, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.31352505599477354,0.22147136871105805,0.13882488938331752,0.0,0.0,0.0,0.0,0.09205368728371549,False
31,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.3127959908812409,0.21832115560796161,0.14260048693749997,0.0,0.0,0.0,0.0,0.09447483527327927,False
32,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.3127959908812409,0.21832115560796161,0.14260048693749997,0.0,0.0,0.0,0.0,0.09447483527327927,False
33,"{'C': 1.0, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.3025080550431117,0.20823102265893115,0.1436200879398485,0.0,0.0,0.0,0.0,0.09427703238418053,False
34,"{'C': 1.0, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.3025080550431117,0.20823102265893115,0.1436200879398485,0.0,0.0,0.0,0.0,0.09427703238418053,False
35,"{'C': 10.0, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.3026669131568612,0.1967066675241162,0.15090049367116082,0.0,0.0,0.0,0.0,0.10596024563274498,False
36,"{'C': 10.0, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.3026669131568612,0.1967066675241162,0.15090049367116082,0.0,0.0,0.0,0.0,0.10596024563274498,False
